variant,boundary,direction,kind,max,count_above_threshold,share_above_threshold,argmax_index,argmax_physical,value_at_argmax,quantiles_q50_q90_q95_q99,b_index,a_index,z_index,b,a,z,rate
H0_A20_BASE,upper_a,a_forward,raw_offending,8.632264468e-02,,,,,,,50,19,1,1.642105263e+01,1.000000000e+01,1.300000000e+00,8.632264468e-02
H0_A20_BASE,upper_a,a_forward,raw_offending,8.833350832e-02,,,,,,,51,19,0,1.678947368e+01,1.000000000e+01,8.000000000e-01,8.833350832e-02
H0_A20_BASE,upper_a,a_forward,raw_offending,8.391316131e-02,,,,,,,51,19,1,1.678947368e+01,1.000000000e+01,1.300000000e+00,8.391316131e-02
H0_A20_BASE,upper_a,a_forward,raw_offending,8.585318947e-02,,,,,,,52,19,0,1.715789474e+01,1.000000000e+01,8.000000000e-01,8.585318947e-02
H0_A20_BASE,upper_a,a_forward,raw_offending,8.147521605e-02,,,,,,,52,19,1,1.715789474e+01,1.000000000e+01,1.300000000e+00,8.147521605e-02
H0_A20_BASE,upper_a,a_forward,raw_offending,8.335283702e-02,,,,,,,53,19,0,1.752631579e+01,1.000000000e+01,8.000000000e-01,8.335283702e-02
H0_A20_BASE,upper_a,a_forward,raw_offending,7.888220280e-02,,,,,,,53,19,1,1.752631579e+01,1.000000000e+01,1.300000000e+00,7.888220280e-02
H0_A20_BASE,upper_a,a_forward,raw_offending,8.071183691e-02,,,,,,,54,19,0,1.789473684e+01,1.000000000e+01,8.000000000e-01,8.071183691e-02
H0_A20_BASE,upper_a,a_forward,raw_offending,7.587581376e-02,,,,,,,54,19,1,1.789473684e+01,1.000000000e+01,1.300000000e+00,7.587581376e-02
H0_A20_BASE,upper_a,a_forward,raw_offending,7.767312774e-02,,,,,,,55,19,0,1.826315789e+01,1.000000000e+01,8.000000000e-01,7.767312774e-02
H0_A20_BASE,upper_a,a_forward,raw_offending,7.193593798e-02,,,,,,,55,19,1,1.826315789e+01,1.000000000e+01,1.300000000e+00,7.193593798e-02
