variant,boundary,direction,kind,max,count_above_threshold,share_above_threshold,argmax_index,argmax_physical,value_at_argmax,quantiles_q50_q90_q95_q99,b_index,a_index,z_index,b,a,z,rate
J4_A153_B140,upper_b,b_forward,requested_offending,5.420151000e-02,,,,,,,139,150,1,4.921052632e+01,9.868421053e+00,1.300000000e+00,5.420151000e-02
J4_A153_B140,upper_b,b_forward,requested_offending,8.414706933e-02,,,,,,,139,151,1,4.921052632e+01,9.934210526e+00,1.300000000e+00,8.414706933e-02
J4_A153_B140,upper_b,b_forward,requested_offending,1.043380657e-01,,,,,,,139,152,1,4.921052632e+01,1.000000000e+01,1.300000000e+00,1.043380657e-01
J5_A153_B160,upper_a,a_forward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 152, 0)","(-2.0, 10.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J5_A153_B160,upper_a,a_forward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 152, 0)","(-2.0, 10.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J5_A153_B160,lower_a,a_backward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J5_A153_B160,lower_a,a_backward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J5_A153_B160,upper_b,b_forward,raw,1.491625647e-02,2,6.535947712e-03,"(159, 152, 1)","(56.578947368421055, 10.0, 1.3)",1.491625647e-02,0.011208514026413319/0.014174707984752465/0.014545482229544859/0.014842101625378775,,,,,,,
J5_A153_B160,upper_b,b_forward,requested,4.048698186e-02,2,6.535947712e-03,"(159, 152, 1)","(56.578947368421055, 10.0, 1.3)",4.048698186e-02,0.03042310950026472/0.03847420738718526/0.03948059462305033/0.04028570441174238,,,,,,,
J5_A153_B160,lower_b,b_backward,raw,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J5_A153_B160,lower_b,b_backward,requested,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
J5_A153_B160,upper_b,b_forward,raw_offending,7.500771578e-03,,,,,,,159,151,1,5.657894737e+01,9.934210526e+00,1.300000000e+00,7.500771578e-03
J5_A153_B160,upper_b,b_forward,raw_offending,1.491625647e-02,,,,,,,159,152,1,5.657894737e+01,1.000000000e+01,1.300000000e+00,1.491625647e-02
J5_A153_B160,upper_b,b_forward,requested_offending,2.035923714e-02,,,,,,,159,151,1,5.657894737e+01,9.934210526e+00,1.300000000e+00,2.035923714e-02
J5_A153_B160,upper_b,b_forward,requested_offending,4.048698186e-02,,,,,,,159,152,1,5.657894737e+01,1.000000000e+01,1.300000000e+00,4.048698186e-02
