stage,r,N,A_hh,N_hh,C,R_asset,R_labor,finite,hjb_converged
inner_primary_lower,0.007442109652526997,0.2,13.11505680227437,1.2662044522202605,0.9784107479523967,3.1150568022743705,1.0662044522202605,True,True
inner_primary_upper,0.007442109652526997,2.0,7.399387463751836,0.8694827903797024,1.1798629328604613,-2.600612536248164,-1.1305172096202976,True,True
inner_brentq,0.007442109652526997,0.2,13.11505680227437,1.2662044522202605,0.9784107479523967,3.1150568022743705,1.0662044522202605,True,True
inner_brentq,0.007442109652526997,2.0,7.399387463751836,0.8694827903797024,1.1798629328604613,-2.600612536248164,-1.1305172096202976,True,True
inner_brentq,0.007442109652526997,1.0736509715065419,10.124027423949672,1.063254989331252,1.0672101764879995,0.1240274239496717,-0.01039598217528992,True,True
inner_brentq,0.007442109652526997,1.0652147312478186,10.15108795776198,1.065126090328779,1.0662763570790053,0.15108795776198036,-8.864091903970639e-05,True,True
inner_brentq,0.007442109652526997,1.0651421874261955,10.151320818358007,1.0651421879614693,1.0662683339282846,0.15132081835800726,5.35273825263971e-10,True,True
inner_brentq,0.007442109652526997,1.0651421884587666,10.15132081504218,1.0651421877323513,1.0662683340424717,0.15132081504217965,-7.264153722985611e-10,True,True
outer_brentq,0.007442109652526997,1.0651421874261955,10.151320818358007,1.0651421879614693,1.0662683339282846,0.15132081835800726,5.35273825263971e-10,True,True
inner_primary_lower,0.007367011421675274,0.2,12.919043645578366,1.267391641318191,0.9775737071443981,2.919043645578366,1.067391641318191,True,True
inner_primary_upper,0.007367011421675274,2.0,7.279523386064886,0.8696604719653089,1.1793010520215006,-2.720476613935114,-1.130339528034691,True,True
inner_brentq,0.007367011421675274,0.2,12.919043645578366,1.267391641318191,0.9775737071443981,2.919043645578366,1.067391641318191,True,True
inner_brentq,0.007367011421675274,2.0,7.279523386064886,0.8696604719653089,1.1793010520215006,-2.720476613935114,-1.130339528034691,True,True
inner_brentq,0.007367011421675274,1.0742220072978574,9.965426136473958,1.0637527696701832,1.066551591264107,-0.03457386352604175,-0.010469237627674266,True,True
inner_brentq,0.007367011421675274,1.065730709290368,9.992298713571419,1.0656407984925529,1.0656102870101711,-0.0077012864285812554,-8.991079781517364e-05,True,True
inner_brentq,0.007367011421675274,1.065657159715628,9.992531644184089,1.0656571602665892,1.0656021406432956,-0.0074683558159112096,5.509612766019245e-10,True,True
inner_brentq,0.007367011421675274,1.0656571607484564,9.99253164091363,1.0656571600368234,1.0656021407576937,-0.007468359086370668,-7.116329747702821e-10,True,True
outer_brentq,0.007367011421675274,1.065657159715628,9.992531644184089,1.0656571602665892,1.0656021406432956,-0.0074683558159112096,5.509612766019245e-10,True,True
inner_primary_lower,0.007370543528395168,0.2,12.928086323752282,1.2673374522358507,0.9776122830378435,2.9280863237522823,1.0673374522358507,True,True
inner_primary_upper,0.007370543528395168,2.0,7.285052041657349,0.8696528741173476,1.1793268103954957,-2.714947958342651,-1.1303471258826523,True,True
inner_brentq,0.007370543528395168,0.2,12.928086323752282,1.2673374522358507,0.9776122830378435,2.9280863237522823,1.0673374522358507,True,True
inner_brentq,0.007370543528395168,2.0,7.285052041657349,0.8696528741173476,1.1793268103954957,-2.714947958342651,-1.1303471258826523,True,True
inner_brentq,0.007370543528395168,1.0741961576985397,9.972739772590455,1.0637303201206547,1.066581933388163,-0.02726022740954548,-0.010465837577884995,True,True
inner_brentq,0.007370543528395168,1.0657074148229588,9.999621078650112,1.0656175631110993,1.0656409770040893,-0.00037892134988837256,-8.985171185948992e-05,True,True
inner_brentq,0.007370543528395168,1.0656339120362945,9.999854006716076,1.0656339125865093,1.065632836376179,-0.0001459932839242839,5.502147626401666e-10,True,True
inner_brentq,0.007370543528395168,1.0656339130691115,9.999854003442447,1.065633912356779,1.0656328364905625,-0.0001459965575527633,-7.123324152757959e-10,True,True
outer_brentq,0.007370543528395168,1.0656339120362945,9.999854006716076,1.0656339125865093,1.065632836376179,-0.0001459932839242839,5.502147626401666e-10,True,True
inner_primary_lower,0.007370613883670197,0.2,12.928266615860602,1.2673363712379861,0.9776130522008568,2.9282666158606023,1.0673363712379862,True,True
