run,amplitude,horizon,k,t,epsilon_i,w,N,Y,pi,r,i,tr,Pi,AC,A_hh,N_hh,C,R_asset,R_labor,R_goods,R_nkpc,R_fisher,R_taylor,R_fiscal,R_profits,R_wealth,mass_error,min_mass,neg_count,nan_count,hjb_residual,labor_kkt,cfoc
amp1.0_T12.0,1.0,12.0,141,7.050000000000001,0.0,0.8345943547684381,1.0661590047204605,1.0661590047204605,-0.0003560081981411551,0.007192609784599619,0.006836601586458464,0.06154544514778876,0.1763419617476803,6.756347547279132e-06,10.000000006286529,1.0661590050589127,1.0661515789831342,6.286528630994326e-09,3.3845215519079375e-10,6.693897790928409e-07,5.014435047745458e-19,0.0,0.0,0.0,0.0,7.141653897963884e-15,6.661338147750939e-16,0.0,0,0,1.3642420526593924e-12,3.552713678800501e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,142,7.1000000000000005,0.0,0.8345834870101025,1.0661547793603827,1.0661547793603827,-0.00035996926654553995,0.007190629250397426,0.0068306599838518865,0.06156298351368694,0.1763526984058857,6.907503422309932e-06,10.000000006185587,1.0661547797013526,1.0661471883198406,6.1855871535954066e-09,3.409699189660387e-10,6.835371198442716e-07,6.776263578034403e-20,0.0,0.0,0.0,0.0,-2.4137538332419687e-14,6.661338147750939e-16,0.0,0,0,1.3642420526593924e-12,3.219646771412954e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,143,7.15,0.0,0.8345724689977807,1.0661504916692208,1.0661504916692208,-0.00036389971220912023,0.007188664027565636,0.006824764315356517,0.06158033694768056,0.17636358437128438,7.059142357015203e-06,10.00000000625497,1.0661504920096134,1.0661427398968972,6.254969875385541e-09,3.403926029932336e-10,6.926299665790499e-07,5.421010862427522e-20,0.0,0.0,0.0,0.0,2.5952790289483145e-14,6.661338147750939e-16,0.0,0,0,9.094947017729282e-13,3.3306690738754696e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,144,7.2,0.0,0.8345613001142473,1.0661461403736554,1.0661461403736554,-0.0003677990690585668,0.007186714349140913,0.006818915280082346,0.06159750286189458,0.17637462014409308,7.211207537571952e-06,10.000000006240024,1.0661461406989265,1.0661382340738723,6.240023608938827e-09,3.2527114335323404e-10,6.950922455172585e-07,-1.3552527156068805e-19,0.0,0.0,0.0,0.0,4.937184372406445e-15,4.440892098500626e-16,0.0,0,0,1.3642420526593924e-12,3.1086244689504383e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,145,7.25,0.0,0.8345500091574332,1.0661417616431093,1.0661417616431093,-0.000371666868935838,0.007184780449202278,0.00681311358026644,0.06161448804933403,0.1763857810588733,7.363641857231457e-06,10.000000005806976,1.0661417619226512,1.066133671292191,5.8069762332024766e-09,2.7954194514734354e-10,7.26709061079106e-07,6.098637220230962e-19,0.0,0.0,0.0,0.0,2.2757559454533033e-14,6.661338147750939e-16,0.0,0,0,1.3642420526593924e-12,3.1086244689504383e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,146,7.300000000000001,0.0,0.8345385323853074,1.0661372737025612,1.0661372737025612,-0.00037550272984260524,0.0071828625187488945,0.006807359788906289,0.061631270170062286,0.1763971215951612,7.516390391746299e-06,10.000000006407184,1.0661372740396322,1.0661290517611182,6.407184116596909e-09,3.3707103774816005e-10,7.05551051263285e-07,-3.9302328752599536e-19,0.0,0.0,0.0,0.0,-2.465737325181973e-14,6.661338147750939e-16,0.0,0,0,9.094947017729282e-13,2.55351295663786e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,147,7.3500000000000005,0.0,0.8345269656922071,1.0661327983855506,1.0661327983855506,-0.00037930607836344864,0.007180960844488472,0.0068016547661250235,0.06164787694436054,0.176408559732322,7.669391593525748e-06,10.000000005408811,1.0661327986103457,1.0661243761039025,5.408811176721429e-09,2.2479507144623767e-10,7.528900545759118e-07,8.131516293641283e-20,0.0,0.0,0.0,0.0,2.0936073758494257e-14,6.661338147750939e-16,0.0,0,0,9.094947017729282e-13,3.1086244689504383e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,148,7.4,0.0,0.8345152077250007,1.0661282058026498,1.0661282058026498,-0.0003830766284792515,0.007179075569430571,0.00679599894095132,0.06166427447472636,0.1764201820824887,7.822593280553071e-06,10.00000000622122,1.066128206109933,1.0661196444459917,6.221220871793776e-09,3.0728330990825725e-10,7.387633775013927e-07,-3.7947076036992655e-19,0.0,0.0,0.0,0.0,-2.629920304798763e-14,6.661338147750939e-16,0.0,0,0,1.3642420526593924e-12,2.6645352591003757e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,149,7.45,0.0,0.8345033411182655,1.0661236009657467,1.0661236009657467,-0.000386813789968493,0.00717720698868595,0.006790393198717457,0.06168048617078331,0.17643191798250313,7.97593229140888e-06,10.000000005782478,1.0661236012232946,1.0661148573861623,5.782478496030308e-09,2.5754798294030934e-10,7.676472929493495e-07,6.640738306473715e-19,0.0,0.0,0.0,0.0,4.292421622407051e-15,6.661338147750939e-16,0.0,0,0,9.094947017729282e-13,2.3314683517128287e-15,2.220446049250313e-16
amp1.0_T12.0,1.0,12.0,150,7.5,0.0,0.8344913139461765,1.0661189170357952,1.0661189170357952,-0.00039051722021827363,0.00717535527356106,0.006784838053342786,0.06169649364940072,0.1764438117817833,8.129353936390858e-06,10.00000000623163,1.0661189173401275,1.0661100151871592,6.231630322872661e-09,3.043323371088036e-10,7.724946996095513e-07,2.168404344971009e-19,0.0,0.0,0.0,0.0,-2.555838337363781e-14,6.661338147750939e-16,0.0,0,0,9.094947017729282e-13,2.55351295663786e-15,2.220446049250313e-16
