variant,boundary,direction,kind,max,count_above_threshold,share_above_threshold,argmax_index,argmax_physical,value_at_argmax,quantiles_q50_q90_q95_q99,b_index,a_index,z_index,b,a,z,rate
G1_B_WIDE_1,lower_a,a_backward,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
G1_B_WIDE_1,upper_a,a_forward,3.094730277e-01,68,8.500000000e-01,"(22, 19, 0)","(6.105263157894736, 10.0, 0.8)",3.094730277e-01,0.27570549025433355/0.30765703479367806/0.30886034443603066/0.30922430554204733,,,,,,,
G1_B_WIDE_1,upper_a,a_forward,offending,3.340559455e-03,,,,,,,5,19,1,-1.578947368e-01,1.000000000e+01,1.300000000e+00,3.340559455e-03
G1_B_WIDE_1,upper_a,a_forward,offending,1.037185052e-01,,,,,,,6,19,1,2.105263158e-01,1.000000000e+01,1.300000000e+00,1.037185052e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.961341708e-02,,,,,,,7,19,0,5.789473684e-01,1.000000000e+01,8.000000000e-01,2.961341708e-02
G1_B_WIDE_1,upper_a,a_forward,offending,1.464849560e-01,,,,,,,7,19,1,5.789473684e-01,1.000000000e+01,1.300000000e+00,1.464849560e-01
G1_B_WIDE_1,upper_a,a_forward,offending,9.044960205e-02,,,,,,,8,19,0,9.473684211e-01,1.000000000e+01,8.000000000e-01,9.044960205e-02
G1_B_WIDE_1,upper_a,a_forward,offending,1.770230905e-01,,,,,,,8,19,1,9.473684211e-01,1.000000000e+01,1.300000000e+00,1.770230905e-01
G1_B_WIDE_1,upper_a,a_forward,offending,1.373124883e-01,,,,,,,9,19,0,1.315789474e+00,1.000000000e+01,8.000000000e-01,1.373124883e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.043612125e-01,,,,,,,9,19,1,1.315789474e+00,1.000000000e+01,1.300000000e+00,2.043612125e-01
G1_B_WIDE_1,upper_a,a_forward,offending,1.742857243e-01,,,,,,,10,19,0,1.684210526e+00,1.000000000e+01,8.000000000e-01,1.742857243e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.274316378e-01,,,,,,,10,19,1,1.684210526e+00,1.000000000e+01,1.300000000e+00,2.274316378e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.039039604e-01,,,,,,,11,19,0,2.052631579e+00,1.000000000e+01,8.000000000e-01,2.039039604e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.465141984e-01,,,,,,,11,19,1,2.052631579e+00,1.000000000e+01,1.300000000e+00,2.465141984e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.278442047e-01,,,,,,,12,19,0,2.421052632e+00,1.000000000e+01,8.000000000e-01,2.278442047e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.621391198e-01,,,,,,,12,19,1,2.421052632e+00,1.000000000e+01,1.300000000e+00,2.621391198e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.472667309e-01,,,,,,,13,19,0,2.789473684e+00,1.000000000e+01,8.000000000e-01,2.472667309e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.747991012e-01,,,,,,,13,19,1,2.789473684e+00,1.000000000e+01,1.300000000e+00,2.747991012e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.630121070e-01,,,,,,,14,19,0,3.157894737e+00,1.000000000e+01,8.000000000e-01,2.630121070e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.849422674e-01,,,,,,,14,19,1,3.157894737e+00,1.000000000e+01,1.300000000e+00,2.849422674e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.757081090e-01,,,,,,,15,19,0,3.526315789e+00,1.000000000e+01,8.000000000e-01,2.757081090e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.929287953e-01,,,,,,,15,19,1,3.526315789e+00,1.000000000e+01,1.300000000e+00,2.929287953e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.858361362e-01,,,,,,,16,19,0,3.894736842e+00,1.000000000e+01,8.000000000e-01,2.858361362e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.990498670e-01,,,,,,,16,19,1,3.894736842e+00,1.000000000e+01,1.300000000e+00,2.990498670e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.937736161e-01,,,,,,,17,19,0,4.263157895e+00,1.000000000e+01,8.000000000e-01,2.937736161e-01
G1_B_WIDE_1,upper_a,a_forward,offending,3.035440044e-01,,,,,,,17,19,1,4.263157895e+00,1.000000000e+01,1.300000000e+00,3.035440044e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.998223714e-01,,,,,,,18,19,0,4.631578947e+00,1.000000000e+01,8.000000000e-01,2.998223714e-01
G1_B_WIDE_1,upper_a,a_forward,offending,3.066095975e-01,,,,,,,18,19,1,4.631578947e+00,1.000000000e+01,1.300000000e+00,3.066095975e-01
G1_B_WIDE_1,upper_a,a_forward,offending,3.042282429e-01,,,,,,,19,19,0,5.000000000e+00,1.000000000e+01,8.000000000e-01,3.042282429e-01
G1_B_WIDE_1,upper_a,a_forward,offending,3.084142656e-01,,,,,,,19,19,1,5.000000000e+00,1.000000000e+01,1.300000000e+00,3.084142656e-01
G1_B_WIDE_1,upper_a,a_forward,offending,3.071949835e-01,,,,,,,20,19,0,5.368421053e+00,1.000000000e+01,8.000000000e-01,3.071949835e-01
G1_B_WIDE_1,upper_a,a_forward,offending,3.091018006e-01,,,,,,,20,19,1,5.368421053e+00,1.000000000e+01,1.300000000e+00,3.091018006e-01
G1_B_WIDE_1,upper_a,a_forward,offending,3.088942713e-01,,,,,,,21,19,0,5.736842105e+00,1.000000000e+01,8.000000000e-01,3.088942713e-01
G1_B_WIDE_1,upper_a,a_forward,offending,3.087973373e-01,,,,,,,21,19,1,5.736842105e+00,1.000000000e+01,1.300000000e+00,3.087973373e-01
G1_B_WIDE_1,upper_a,a_forward,offending,3.094730277e-01,,,,,,,22,19,0,6.105263158e+00,1.000000000e+01,8.000000000e-01,3.094730277e-01
G1_B_WIDE_1,upper_a,a_forward,offending,3.076112249e-01,,,,,,,22,19,1,6.105263158e+00,1.000000000e+01,1.300000000e+00,3.076112249e-01
G1_B_WIDE_1,upper_a,a_forward,offending,3.090588270e-01,,,,,,,23,19,0,6.473684211e+00,1.000000000e+01,8.000000000e-01,3.090588270e-01
G1_B_WIDE_1,upper_a,a_forward,offending,3.056419347e-01,,,,,,,23,19,1,6.473684211e+00,1.000000000e+01,1.300000000e+00,3.056419347e-01
G1_B_WIDE_1,upper_a,a_forward,offending,3.077639246e-01,,,,,,,24,19,0,6.842105263e+00,1.000000000e+01,8.000000000e-01,3.077639246e-01
G1_B_WIDE_1,upper_a,a_forward,offending,3.029782303e-01,,,,,,,24,19,1,6.842105263e+00,1.000000000e+01,1.300000000e+00,3.029782303e-01
G1_B_WIDE_1,upper_a,a_forward,offending,3.056882553e-01,,,,,,,25,19,0,7.210526316e+00,1.000000000e+01,8.000000000e-01,3.056882553e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.997007346e-01,,,,,,,25,19,1,7.210526316e+00,1.000000000e+01,1.300000000e+00,2.997007346e-01
G1_B_WIDE_1,upper_a,a_forward,offending,3.029216260e-01,,,,,,,26,19,0,7.578947368e+00,1.000000000e+01,8.000000000e-01,3.029216260e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.958829316e-01,,,,,,,26,19,1,7.578947368e+00,1.000000000e+01,1.300000000e+00,2.958829316e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.995452007e-01,,,,,,,27,19,0,7.947368421e+00,1.000000000e+01,8.000000000e-01,2.995452007e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.915914887e-01,,,,,,,27,19,1,7.947368421e+00,1.000000000e+01,1.300000000e+00,2.915914887e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.956322187e-01,,,,,,,28,19,0,8.315789474e+00,1.000000000e+01,8.000000000e-01,2.956322187e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.868854962e-01,,,,,,,28,19,1,8.315789474e+00,1.000000000e+01,1.300000000e+00,2.868854962e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.912476007e-01,,,,,,,29,19,0,8.684210526e+00,1.000000000e+01,8.000000000e-01,2.912476007e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.818136042e-01,,,,,,,29,19,1,8.684210526e+00,1.000000000e+01,1.300000000e+00,2.818136042e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.864455178e-01,,,,,,,30,19,0,9.052631579e+00,1.000000000e+01,8.000000000e-01,2.864455178e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.764066887e-01,,,,,,,30,19,1,9.052631579e+00,1.000000000e+01,1.300000000e+00,2.764066887e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.812627406e-01,,,,,,,31,19,0,9.421052632e+00,1.000000000e+01,8.000000000e-01,2.812627406e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.706607331e-01,,,,,,,31,19,1,9.421052632e+00,1.000000000e+01,1.300000000e+00,2.706607331e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.757028715e-01,,,,,,,32,19,0,9.789473684e+00,1.000000000e+01,8.000000000e-01,2.757028715e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.644982828e-01,,,,,,,32,19,1,9.789473684e+00,1.000000000e+01,1.300000000e+00,2.644982828e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.697006825e-01,,,,,,,33,19,0,1.015789474e+01,1.000000000e+01,8.000000000e-01,2.697006825e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.576836919e-01,,,,,,,33,19,1,1.015789474e+01,1.000000000e+01,1.300000000e+00,2.576836919e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.630428918e-01,,,,,,,34,19,0,1.052631579e+01,1.000000000e+01,8.000000000e-01,2.630428918e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.496421343e-01,,,,,,,34,19,1,1.052631579e+01,1.000000000e+01,1.300000000e+00,2.496421343e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.551905443e-01,,,,,,,35,19,0,1.089473684e+01,1.000000000e+01,8.000000000e-01,2.551905443e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.390924420e-01,,,,,,,35,19,1,1.089473684e+01,1.000000000e+01,1.300000000e+00,2.390924420e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.448504556e-01,,,,,,,36,19,0,1.126315789e+01,1.000000000e+01,8.000000000e-01,2.448504556e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.233775713e-01,,,,,,,36,19,1,1.126315789e+01,1.000000000e+01,1.300000000e+00,2.233775713e-01
G1_B_WIDE_1,upper_a,a_forward,offending,2.287287194e-01,,,,,,,37,19,0,1.163157895e+01,1.000000000e+01,8.000000000e-01,2.287287194e-01
G1_B_WIDE_1,upper_a,a_forward,offending,1.975216189e-01,,,,,,,37,19,1,1.163157895e+01,1.000000000e+01,1.300000000e+00,1.975216189e-01
G1_B_WIDE_1,upper_a,a_forward,offending,1.970610811e-01,,,,,,,38,19,0,1.200000000e+01,1.000000000e+01,8.000000000e-01,1.970610811e-01
G1_B_WIDE_1,upper_a,a_forward,offending,1.538275023e-01,,,,,,,38,19,1,1.200000000e+01,1.000000000e+01,1.300000000e+00,1.538275023e-01
G1_B_WIDE_1,upper_a,a_forward,offending,1.186582564e-01,,,,,,,39,19,0,1.236842105e+01,1.000000000e+01,8.000000000e-01,1.186582564e-01
G1_B_WIDE_1,upper_a,a_forward,offending,8.503454305e-02,,,,,,,39,19,1,1.236842105e+01,1.000000000e+01,1.300000000e+00,8.503454305e-02
G2_B_WIDE_2,lower_a,a_backward,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,
G2_B_WIDE_2,upper_a,a_forward,3.094730854e-01,108,9.000000000e-01,"(22, 19, 0)","(6.105263157894736, 10.0, 0.8)",3.094730854e-01,0.23145883289925248/0.3056562876941999/0.3081867641670209/0.30909882691513546,,,,,,,
G2_B_WIDE_2,upper_a,a_forward,offending,3.340559457e-03,,,,,,,5,19,1,-1.578947368e-01,1.000000000e+01,1.300000000e+00,3.340559457e-03
G2_B_WIDE_2,upper_a,a_forward,offending,1.037185052e-01,,,,,,,6,19,1,2.105263158e-01,1.000000000e+01,1.300000000e+00,1.037185052e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.961341708e-02,,,,,,,7,19,0,5.789473684e-01,1.000000000e+01,8.000000000e-01,2.961341708e-02
G2_B_WIDE_2,upper_a,a_forward,offending,1.464849560e-01,,,,,,,7,19,1,5.789473684e-01,1.000000000e+01,1.300000000e+00,1.464849560e-01
G2_B_WIDE_2,upper_a,a_forward,offending,9.044960205e-02,,,,,,,8,19,0,9.473684211e-01,1.000000000e+01,8.000000000e-01,9.044960205e-02
G2_B_WIDE_2,upper_a,a_forward,offending,1.770230905e-01,,,,,,,8,19,1,9.473684211e-01,1.000000000e+01,1.300000000e+00,1.770230905e-01
G2_B_WIDE_2,upper_a,a_forward,offending,1.373124883e-01,,,,,,,9,19,0,1.315789474e+00,1.000000000e+01,8.000000000e-01,1.373124883e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.043612125e-01,,,,,,,9,19,1,1.315789474e+00,1.000000000e+01,1.300000000e+00,2.043612125e-01
G2_B_WIDE_2,upper_a,a_forward,offending,1.742857243e-01,,,,,,,10,19,0,1.684210526e+00,1.000000000e+01,8.000000000e-01,1.742857243e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.274316379e-01,,,,,,,10,19,1,1.684210526e+00,1.000000000e+01,1.300000000e+00,2.274316379e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.039039604e-01,,,,,,,11,19,0,2.052631579e+00,1.000000000e+01,8.000000000e-01,2.039039604e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.465141985e-01,,,,,,,11,19,1,2.052631579e+00,1.000000000e+01,1.300000000e+00,2.465141985e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.278442048e-01,,,,,,,12,19,0,2.421052632e+00,1.000000000e+01,8.000000000e-01,2.278442048e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.621391199e-01,,,,,,,12,19,1,2.421052632e+00,1.000000000e+01,1.300000000e+00,2.621391199e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.472667309e-01,,,,,,,13,19,0,2.789473684e+00,1.000000000e+01,8.000000000e-01,2.472667309e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.747991013e-01,,,,,,,13,19,1,2.789473684e+00,1.000000000e+01,1.300000000e+00,2.747991013e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.630121071e-01,,,,,,,14,19,0,3.157894737e+00,1.000000000e+01,8.000000000e-01,2.630121071e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.849422677e-01,,,,,,,14,19,1,3.157894737e+00,1.000000000e+01,1.300000000e+00,2.849422677e-01
G2_B_WIDE_2,upper_a,a_forward,offending,2.757081093e-01,,,,,,,15,19,0,3.526315789e+00,1.000000000e+01,8.000000000e-01,2.757081093e-01
