state_id,group,variant,b_index,a_index,z_index,b,a,mu_a,mu_b,mu_W,rectangular_upper_a_condition_mu_a_le_0,rectangular_upper_a_satisfied,rectangular_upper_b_condition_mu_b_le_0,rectangular_upper_b_satisfied,joint_W_condition_mu_W_le_0,joint_W_satisfied,W_s=a+b,active_candidate_constraints_R,active_candidate_constraints_W_symbolic
J0_A77_B120|41.8421052632|76|0,CROSS_A_A77,J0_A77_B120,top,76,0,41.8421052632,10.000000000,-1.604760201e-01,-3.433874538e-01,-5.038634740e-01,True,True,True,True,True,True,51.8421052632,upper_b+upper_a(joint corner),upper-a active (a=a_max); W activity unresolved (no W_max): W_s=51.8421052632; if W_max=W_s upper-a+W-face active at intersection; if W_max>W_s W face inactive; if W_max<W_s outside D_W
J0_A77_B120|41.8421052632|76|1,CROSS_A_A77,J0_A77_B120,top,76,1,41.8421052632,10.000000000,-1.634059876e-01,4.291614197e-02,-1.204898456e-01,True,True,False,False,True,True,51.8421052632,upper_b+upper_a(joint corner),upper-a active (a=a_max); W activity unresolved (no W_max): W_s=51.8421052632; if W_max=W_s upper-a+W-face active at intersection; if W_max>W_s W face inactive; if W_max<W_s outside D_W
J1_A77_B140|49.2105263158|73|0,CROSS_A_A77,J1_A77_B140,top,73,0,49.2105263158,9.605263158,-8.585803693e-02,-4.177193936e-01,-5.035774305e-01,True,True,True,True,True,True,58.8157894738,upper_b,W activity unresolved (no W_max): W_s=58.8157894738; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J1_A77_B140|49.2105263158|73|1,CROSS_A_A77,J1_A77_B140,top,73,1,49.2105263158,9.605263158,-8.704694872e-02,-4.240428507e-02,-1.294512338e-01,True,True,True,True,True,True,58.8157894738,upper_b,W activity unresolved (no W_max): W_s=58.8157894738; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J1_A77_B140|49.2105263158|74|0,CROSS_A_A77,J1_A77_B140,top,74,0,49.2105263158,9.736842105,-1.151545845e-01,-3.938605108e-01,-5.090150954e-01,True,True,True,True,True,True,58.9473684208,upper_b,W activity unresolved (no W_max): W_s=58.9473684208; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J1_A77_B140|49.2105263158|74|1,CROSS_A_A77,J1_A77_B140,top,74,1,49.2105263158,9.736842105,-1.167240378e-01,-1.813036383e-02,-1.348544017e-01,True,True,True,True,True,True,58.9473684208,upper_b,W activity unresolved (no W_max): W_s=58.9473684208; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J1_A77_B140|49.2105263158|75|0,CROSS_A_A77,J1_A77_B140,top,75,0,49.2105263158,9.868421053,-1.411737193e-01,-3.731143066e-01,-5.142880259e-01,True,True,True,True,True,True,59.0789473688,upper_b,W activity unresolved (no W_max): W_s=59.0789473688; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J1_A77_B140|49.2105263158|75|1,CROSS_A_A77,J1_A77_B140,top,75,1,49.2105263158,9.868421053,-1.432371347e-01,3.118098535e-03,-1.401190362e-01,True,True,False,False,True,True,59.0789473688,upper_b,W activity unresolved (no W_max): W_s=59.0789473688; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J1_A77_B140|49.2105263158|76|0,CROSS_A_A77,J1_A77_B140,top,76,0,49.2105263158,10.000000000,-1.592650531e-01,-3.592597237e-01,-5.185247769e-01,True,True,True,True,True,True,59.2105263158,upper_b+upper_a(joint corner),upper-a active (a=a_max); W activity unresolved (no W_max): W_s=59.2105263158; if W_max=W_s upper-a+W-face active at intersection; if W_max>W_s W face inactive; if W_max<W_s outside D_W
J1_A77_B140|49.2105263158|76|1,CROSS_A_A77,J1_A77_B140,top,76,1,49.2105263158,10.000000000,-1.619602544e-01,1.758505363e-02,-1.443752008e-01,True,True,False,False,True,True,59.2105263158,upper_b+upper_a(joint corner),upper-a active (a=a_max); W activity unresolved (no W_max): W_s=59.2105263158; if W_max=W_s upper-a+W-face active at intersection; if W_max>W_s W face inactive; if W_max<W_s outside D_W
J2_A77_B160|56.5789473684|73|0,CROSS_A_A77,J2_A77_B160,top,73,0,56.5789473684,9.605263158,-8.475213254e-02,-4.326286183e-01,-5.173807508e-01,True,True,True,True,True,True,66.1842105264,upper_b,W activity unresolved (no W_max): W_s=66.1842105264; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J2_A77_B160|56.5789473684|73|1,CROSS_A_A77,J2_A77_B160,top,73,1,56.5789473684,9.605263158,-8.587238012e-02,-6.589754478e-02,-1.517699249e-01,True,True,True,True,True,True,66.1842105264,upper_b,W activity unresolved (no W_max): W_s=66.1842105264; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J2_A77_B160|56.5789473684|74|0,CROSS_A_A77,J2_A77_B160,top,74,0,56.5789473684,9.736842105,-1.140454428e-01,-4.087873052e-01,-5.228327480e-01,True,True,True,True,True,True,66.3157894734,upper_b,W activity unresolved (no W_max): W_s=66.3157894734; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J2_A77_B160|56.5789473684|74|1,CROSS_A_A77,J2_A77_B160,top,74,1,56.5789473684,9.736842105,-1.155122611e-01,-4.167611663e-02,-1.571883778e-01,True,True,True,True,True,True,66.3157894734,upper_b,W activity unresolved (no W_max): W_s=66.3157894734; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J2_A77_B160|56.5789473684|75|0,CROSS_A_A77,J2_A77_B160,top,75,0,56.5789473684,9.868421053,-1.400762738e-01,-3.880477456e-01,-5.281240194e-01,True,True,True,True,True,True,66.4473684214,upper_b,W activity unresolved (no W_max): W_s=66.4473684214; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J2_A77_B160|56.5789473684|75|1,CROSS_A_A77,J2_A77_B160,top,75,1,56.5789473684,9.868421053,-1.419923266e-01,-2.047753391e-02,-1.624698605e-01,True,True,True,True,True,True,66.4473684214,upper_b,W activity unresolved (no W_max): W_s=66.4473684214; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J2_A77_B160|56.5789473684|76|0,CROSS_A_A77,J2_A77_B160,top,76,0,56.5789473684,10.000000000,-1.582200388e-01,-3.741688922e-01,-5.323889310e-01,True,True,True,True,True,True,66.5789473684,upper_b+upper_a(joint corner),upper-a active (a=a_max); W activity unresolved (no W_max): W_s=66.5789473684; if W_max=W_s upper-a+W-face active at intersection; if W_max>W_s W face inactive; if W_max<W_s outside D_W
J2_A77_B160|56.5789473684|76|1,CROSS_A_A77,J2_A77_B160,top,76,1,56.5789473684,10.000000000,-1.607083898e-01,-6.041441309e-03,-1.667498311e-01,True,True,True,True,True,True,66.5789473684,upper_b+upper_a(joint corner),upper-a active (a=a_max); W activity unresolved (no W_max): W_s=66.5789473684; if W_max=W_s upper-a+W-face active at intersection; if W_max>W_s W face inactive; if W_max<W_s outside D_W
J0_A77_B120|119|74|1,TOP_OFFENDER,J0_A77_B120,119,74,1,4.184210526e+01,9.736842105e+00,-1.181156894e-01,7.108521285e-03,-1.110071681e-01,True,True,False,False,True,True,51.578947365,upper_b,W activity unresolved (no W_max): W_s=51.578947365; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J0_A77_B120|119|75|1,TOP_OFFENDER,J0_A77_B120,119,75,1,4.184210526e+01,9.868421053e+00,-1.446695049e-01,2.841300610e-02,-1.162564988e-01,True,True,False,False,True,True,51.710526313,upper_b,W activity unresolved (no W_max): W_s=51.710526313; if W_max>W_s inactive; if W_max=W_s active (mu_W<=0 if active); if W_max<W_s outside D_W; upper-a not active (a<a_max)
J0_A77_B120|119|76|1,TOP_OFFENDER,J0_A77_B120,119,76,1,4.184210526e+01,1.000000000e+01,-1.634059876e-01,4.291614197e-02,-1.204898456e-01,True,True,False,False,True,True,51.84210526,upper_b+upper_a(joint corner),upper-a active (a=a_max); W activity unresolved (no W_max): W_s=51.84210526; if W_max=W_s upper-a+W-face active at intersection; if W_max>W_s W face inactive; if W_max<W_s outside D_W
