metric,value
top15.b_forward_term,0.0
top15.a_backward_term,0.0
top15.a_forward_term,309.0644583847634
top15.boundary_term,0.0
top15.diagonal_term,-1207.1074448687525
top15.z_switch_term,15.811489845265818
top15.reconstructed_R,-10.131342508126941
top15.closure_error,3.552713678800501e-15
top15.largest_component_class,b_backward_term
top15.largest_component_abs,872.0726640886062
top15.branch_inconsistent,False
top15.is_f0,True
top16.rank,16
top16.row,34
top16.node,34
top16.j,1
top16.i,1
top16.z,0
top16.family,F0
top16.residual,-10.116225952836752
top16.abs_residual,10.116225952836752
top16.residual_sign,-1
top16.sector,B
top16.liquid_label,B
top16.transfer_label,B
top16.consumption,0.7025128446963962
top16.labor,1.0662034287996958
top16.transfer,0.5188537489678876
top16.mu_a,0.5556958542310341
top16.mu_b,-1.0923627202789081
top16.stored_b_backward_rate,2.964984526471323
top16.stored_b_forward_rate,0.0
top16.stored_a_backward_rate,0.0
top16.stored_a_forward_rate,1.0558221230389648
top16.neighbours,{'up': 35, 'down': 33, 'right': 66, 'left': 1}
top16.represented_destinations,((33, 2.964984526471323, 'b_backward_term'), (66, 1.0558221230389648, 'a_forward_term'))
top16.rhoV_term,-1.6094750069533108
top16.utility_source_term,1.668305366847454
top16.b_backward_term,240.81681654681987
top16.b_forward_term,0.0
top16.a_backward_term,0.0
top16.a_forward_term,81.5073723444327
top16.boundary_term,0.0
top16.diagonal_term,-350.39397395814626
top16.z_switch_term,17.894728754162806
top16.reconstructed_R,-10.116225952836736
top16.closure_error,1.5987211554602254e-14
top16.largest_component_class,b_backward_term
top16.largest_component_abs,240.81681654681987
top16.branch_inconsistent,False
top16.is_f0,True
top17.rank,17
top17.row,153
top17.node,153
top17.j,5
top17.i,2
top17.z,0
top17.family,F0
top17.residual,-10.111838222900365
top17.abs_residual,10.111838222900365
top17.residual_sign,-1
top17.sector,B
top17.liquid_label,B
top17.transfer_label,B
top17.consumption,0.8007773107071415
top17.labor,1.0118056001544977
top17.transfer,2.1578848267176944
top17.mu_a,2.3420952415367684
top17.mu_b,-4.281143401530096
top17.stored_b_backward_rate,11.620246375581692
top17.stored_b_forward_rate,0.0
top17.stored_a_backward_rate,0.0
top17.stored_a_forward_rate,4.44998095891986
top17.neighbours,{'up': 154, 'down': 152, 'right': 179, 'left': 126}
top17.represented_destinations,((152, 11.620246375581692, 'b_backward_term'), (179, 4.44998095891986, 'a_forward_term'))
top17.rhoV_term,-1.3695176422065853
top17.utility_source_term,1.427612861650675
top17.b_backward_term,802.3829272582019
top17.b_forward_term,0.0
top17.a_backward_term,0.0
top17.a_forward_term,294.7087608511352
top17.boundary_term,0.0
top17.diagonal_term,-1123.2482864802955
top17.z_switch_term,15.986664928613965
top17.reconstructed_R,-10.111838222900285
