variant,row_type,boundary,direction,requested_outward_max,count_above_threshold,share_above_threshold,argmax_index,argmax_physical,requested_at_max,quantiles_q50_q90_q95_q99,offending_b_index,offending_a_index,offending_z_index,offending_b,offending_a,offending_z,offending_requested_outward_rate,,
V2_B_WIDE,summary,upper_b,b_forward,1.020335606e-02,1,2.500000000e-02,"(39, 19, 1)","(12.368421052631579, 10.0, 1.3)",1.020335606e-02,0.010203356062305411/0.010203356062305411/0.010203356062305411/0.010203356062305411,,,,,,,,,
V2_B_WIDE,offending,upper_b,b_forward,1.020335606e-02,,,,,,,39,19,1,1.236842105e+01,1.000000000e+01,1.300000000e+00,1.020335606e-02,,
V2_B_WIDE,summary,lower_a,a_backward,0.000000000e+00,0,0.000000000e+00,"(0, 0, 0)","(-2.0, 0.0, 0.8)",0.000000000e+00,NOT_APPLICABLE,,,,,,,,,
V2_B_WIDE,summary,upper_a,a_forward,3.094730277e-01,68,8.500000000e-01,"(22, 19, 0)","(6.105263157894736, 10.0, 0.8)",3.094730277e-01,0.27570549025433355/0.30765703479367806/0.30886034443603066/0.30922430554204733,,,,,,,,,
V2_B_WIDE,offending,upper_a,a_forward,3.340559455e-03,,,,,,,5,19,1,-1.578947368e-01,1.000000000e+01,1.300000000e+00,3.340559455e-03,,
V2_B_WIDE,offending,upper_a,a_forward,1.037185052e-01,,,,,,,6,19,1,2.105263158e-01,1.000000000e+01,1.300000000e+00,1.037185052e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.961341708e-02,,,,,,,7,19,0,5.789473684e-01,1.000000000e+01,8.000000000e-01,2.961341708e-02,,
V2_B_WIDE,offending,upper_a,a_forward,1.464849560e-01,,,,,,,7,19,1,5.789473684e-01,1.000000000e+01,1.300000000e+00,1.464849560e-01,,
V2_B_WIDE,offending,upper_a,a_forward,9.044960205e-02,,,,,,,8,19,0,9.473684211e-01,1.000000000e+01,8.000000000e-01,9.044960205e-02,,
V2_B_WIDE,offending,upper_a,a_forward,1.770230905e-01,,,,,,,8,19,1,9.473684211e-01,1.000000000e+01,1.300000000e+00,1.770230905e-01,,
V2_B_WIDE,offending,upper_a,a_forward,1.373124883e-01,,,,,,,9,19,0,1.315789474e+00,1.000000000e+01,8.000000000e-01,1.373124883e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.043612125e-01,,,,,,,9,19,1,1.315789474e+00,1.000000000e+01,1.300000000e+00,2.043612125e-01,,
V2_B_WIDE,offending,upper_a,a_forward,1.742857243e-01,,,,,,,10,19,0,1.684210526e+00,1.000000000e+01,8.000000000e-01,1.742857243e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.274316378e-01,,,,,,,10,19,1,1.684210526e+00,1.000000000e+01,1.300000000e+00,2.274316378e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.039039604e-01,,,,,,,11,19,0,2.052631579e+00,1.000000000e+01,8.000000000e-01,2.039039604e-01,,
V2_B_WIDE,offending,upper_a,a_forward,2.465141984e-01,,,,,,,11,19,1,2.052631579e+00,1.000000000e+01,1.300000000e+00,2.465141984e-01,,
