layer,variant,b_index,a_index,z_index,b,a,z,liquid_label,transfer_label,consumption,labor,transfer,adjustment_cost,effective_illiquid_return,mu_a,mu_b,base_liquid_surplus,transfer_injection,reconstruction_residual,vb_boundary_closure,vb_backward,va_forward,va_backward,va_over_vb_minus_1,selected_transfer_candidate,candidate_source,is_top_layer,material_positive
n-2,J3_A153_B120,118,150,1,4.147368421e+01,9.868421053e+00,1.300000000e+00,B,F,1.837459988e+00,7.998071814e-01,-4.227261396e-01,6.038061606e-02,2.733712798e-02,-1.529518504e-01,3.077773454e-02,-3.315677890e-01,3.623455236e-01,0.000000000e+00,2.956113286e-01,2.961857900e-01,2.399413805e-01,2.407244349e-01,-1.856724976e-01,-4.227261396e-01,"d_fb(va_b,vb_f)",False,True
n-3,J3_A153_B120,117,150,1,4.110526316e+01,9.868421053e+00,1.300000000e+00,B,F,1.834235033e+00,8.003693739e-01,-4.148895130e-01,5.893179318e-02,2.733712798e-02,-1.451152237e-01,2.270979287e-02,-3.332479269e-01,3.559577198e-01,1.110223025e-16,2.961857900e-01,2.972282143e-01,2.408749952e-01,2.416626437e-01,-1.840842746e-01,-4.148895129e-01,"d_fb(va_b,vb_f)",False,True
n-5,J3_A153_B120,115,150,1,4.036842105e+01,9.868421053e+00,1.300000000e+00,B,F,1.825213976e+00,8.019493531e-01,-4.085539224e-01,5.776957807e-02,2.733712798e-02,-1.387796332e-01,1.725071949e-02,-3.335336249e-01,3.507843444e-01,0.000000000e+00,2.985957107e-01,3.001735552e-01,2.432043265e-01,2.440123367e-01,-1.828002616e-01,-4.085539224e-01,"d_fb(va_b,vb_f)",False,True
n-1,J3_A153_B120,119,151,1,4.184210526e+01,9.934210526e+00,1.300000000e+00,B,B,1.839693173e+00,7.994186887e-01,-4.503075259e-01,6.544272870e-02,2.717302812e-02,-1.803649440e-01,5.616085431e-02,-3.287039429e-01,3.848647972e-01,0.000000000e+00,4.061898052e-01,2.954671524e-01,2.386179669e-01,2.391339941e-01,-1.906579390e-01,-4.503075259e-01,"d_bb(va_b,vb_b)",True,True
n-2,J3_A153_B120,118,151,1,4.147368421e+01,9.934210526e+00,1.300000000e+00,B,F,1.837977340e+00,7.997171221e-01,-4.367345335e-01,6.287347456e-02,2.717302812e-02,-1.667919515e-01,4.167640174e-02,-3.321846572e-01,3.738610589e-01,0.000000000e+00,2.954671524e-01,2.960190731e-01,2.394313768e-01,2.399413805e-01,-1.879253630e-01,-4.367345335e-01,"d_fb(va_b,vb_f)",False,True
n-3,J3_A153_B120,117,151,1,4.110526316e+01,9.934210526e+00,1.300000000e+00,B,F,1.834837961e+00,8.002641628e-01,-4.285894441e-01,6.134948385e-02,2.717302812e-02,-1.586468621e-01,3.327284609e-02,-3.339671141e-01,3.672399602e-01,5.551115123e-17,2.960190731e-01,2.970329076e-01,2.403648372e-01,2.408749952e-01,-1.862855569e-01,-4.285894440e-01,"d_fb(va_b,vb_f)",False,True
n-5,J3_A153_B120,115,151,1,4.036842105e+01,9.934210526e+00,1.300000000e+00,B,F,1.825944088e+00,8.018210724e-01,-4.217270343e-01,6.007585648e-02,2.717302812e-02,-1.517844523e-01,2.724569036e-02,-3.344054875e-01,3.616511778e-01,0.000000000e+00,2.983750653e-01,2.999335516e-01,2.426836449e-01,2.432043265e-01,-1.849039857e-01,-4.217270342e-01,"d_fb(va_b,vb_f)",False,True
n-1,J3_A153_B120,119,152,1,4.184210526e+01,1.000000000e+01,1.300000000e+00,B,B,1.840145537e+00,7.993400743e-01,-4.600360420e-01,6.716692019e-02,2.700000000e-02,-1.900360420e-01,6.362594624e-02,-3.292431755e-01,3.928691218e-01,5.551115123e-17,4.061898052e-01,2.953219007e-01,0.000000000e+00,2.386179669e-01,-1.920072084e-01,-4.600360420e-01,"d_bb(va_b,vb_b)",True,True
n-2,J3_A153_B120,118,152,1,4.147368421e+01,1.000000000e+01,1.300000000e+00,B,F,1.838495045e+00,7.996270372e-01,-4.462644607e-01,6.454164295e-02,2.700000000e-02,-1.762644607e-01,4.892091231e-02,-3.328019054e-01,3.817228177e-01,1.110223025e-16,2.953219007e-01,2.958523837e-01,0.000000000e+00,2.394313768e-01,-1.892528921e-01,-4.462644606e-01,"d_fb(va_b,vb_f)",False,True
n-3,J3_A153_B120,117,152,1,4.110526316e+01,1.000000000e+01,1.300000000e+00,B,F,1.835439032e+00,8.001593241e-01,-4.377573002e-01,6.293887541e-02,2.700000000e-02,-1.677573002e-01,4.013439311e-02,-3.346840317e-01,3.748184248e-01,2.220446049e-16,2.958523837e-01,2.968383944e-01,0.000000000e+00,2.403648372e-01,-1.875514600e-01,-4.377573001e-01,"d_fb(va_b,vb_f)",False,True
n-5,J3_A153_B120,115,152,1,4.036842105e+01,1.000000000e+01,1.300000000e+00,B,F,1.826671723e+00,8.016932985e-01,-4.302504871e-01,6.153659687e-02,2.700000000e-02,-1.602504871e-01,3.343957800e-02,-3.352743122e-01,3.687138902e-01,0.000000000e+00,2.981555058e-01,2.996946487e-01,0.000000000e+00,2.426836449e-01,-1.860500974e-01,-4.302504870e-01,"d_fb(va_b,vb_f)",False,True
n-1,J4_A153_B140,139,149,1,4.921052632e+01,9.802631579e+00,1.300000000e+00,B,B,1.952437456e+00,7.806234678e-01,-4.185418636e-01,5.972462148e-02,2.749270532e-02,-1.490410022e-01,7.126612376e-03,-3.516906298e-01,3.588172421e-01,-1.110223025e-16,3.634026301e-01,2.623286585e-01,2.128749866e-01,2.136945579e-01,-1.853937762e-01,-4.185418636e-01,"d_bb(va_b,vb_b)",True,True
n-2,J4_A153_B140,138,149,1,4.884210526e+01,9.802631579e+00,1.300000000e+00,B,F,1.950461043e+00,7.809397758e-01,-4.054156981e-01,5.730868862e-02,2.749270532e-02,-1.359148368e-01,-6.784002347e-03,-3.548910119e-01,3.481070095e-01,-1.665334537e-16,2.623286585e-01,2.628605662e-01,2.135757901e-01,2.143970977e-01,-1.827156861e-01,-4.054156981e-01,"d_fb(va_b,vb_f)",False,False
n-3,J4_A153_B140,137,149,1,4.847368421e+01,9.802631579e+00,1.300000000e+00,B,F,1.947004681e+00,7.814940167e-01,-3.981857461e-01,5.599299544e-02,2.749270532e-02,-1.286848847e-01,-1.415577900e-02,-3.563485297e-01,3.421927507e-01,5.551115123e-17,2.628605662e-01,2.637946653e-01,2.143904771e-01,2.152195642e-01,-1.812405817e-01,-3.981857461e-01,"d_fb(va_b,vb_f)",False,False
