index,k_lambda,k_delta,k_alpha,lam,trust_fraction,trust_radius,alpha,raw_direction_norm_inf,projected_direction_norm_inf,clipped_direction_norm_inf,linear_solve_residual_inf,finite,active_constraint_count,active_constraint_ids,min_pb_trial,min_pb_node,min_pb_nz,r_trial_inf,residual_ratio,absolute_decrease,armijo_rhs,armijo_pass,material_reduction_flag,max_abs_q1_trial,single_q_ok,conservativity_ok,accepted,reject_reason,nonfinite_reason
34,0,1,12,1.0,0.5,0.00013327705758924945,0.000244140625,0.0002665541151784989,0.0002665541151784989,0.00013327705758924945,5.329070518200751e-15,False,0,,nan,-1,-1,nan,nan,nan,nan,False,False,nan,False,False,False,REJECT_NONFINITE_CANDIDATE,REASSEMBLY_RAISED:BoundaryHJBFailure
35,0,1,13,1.0,0.5,0.00013327705758924945,0.0001220703125,0.0002665541151784989,0.0002665541151784989,0.00013327705758924945,5.329070518200751e-15,False,0,,nan,-1,-1,nan,nan,nan,nan,False,False,nan,False,False,False,REJECT_NONFINITE_CANDIDATE,REASSEMBLY_RAISED:BoundaryHJBFailure
36,0,1,14,1.0,0.5,0.00013327705758924945,6.103515625e-05,0.0002665541151784989,0.0002665541151784989,0.00013327705758924945,5.329070518200751e-15,False,0,,nan,-1,-1,nan,nan,nan,nan,False,False,nan,False,False,False,REJECT_NONFINITE_CANDIDATE,REASSEMBLY_RAISED:BoundaryHJBFailure
37,0,1,15,1.0,0.5,0.00013327705758924945,3.0517578125e-05,0.0002665541151784989,0.0002665541151784989,0.00013327705758924945,5.329070518200751e-15,True,0,,6.46414223735649e-10,332,1,10.435094310372094,0.9999999997323621,2.7928273027555406e-09,10.43509428131954,False,False,4.85061990573854e-12,True,True,False,REJECT_ARMIJO_CONDITION,
38,0,1,16,1.0,0.5,0.00013327705758924945,1.52587890625e-05,0.0002665541151784989,0.0002665541151784989,0.00013327705758924945,5.329070518200751e-15,True,0,,2.727680176966325e-09,332,1,10.435094311768625,0.9999999998661923,1.3962964118263699e-09,10.43509429724223,False,False,2.4253377084448857e-12,True,True,False,REJECT_ARMIJO_CONDITION,
39,0,1,17,1.0,0.5,0.00013327705758924945,7.62939453125e-06,0.0002665541151784989,0.0002665541151784989,0.00013327705758924945,5.329070518200751e-15,True,0,,3.7683227966616485e-09,332,1,10.435094312466688,0.9999999999330881,6.982325828630565e-10,10.435094305203576,False,False,2.4253377084448857e-12,True,True,False,REJECT_ARMIJO_CONDITION,
40,0,1,18,1.0,0.5,0.00013327705758924945,3.814697265625e-06,0.0002665541151784989,0.0002665541151784989,0.00013327705758924945,5.329070518200751e-15,True,0,,4.2886248203493395e-09,332,1,10.435094312815888,0.999999999966552,3.490328026600764e-10,10.43509430918425,False,False,2.4253377084448857e-12,True,True,False,REJECT_ARMIJO_CONDITION,
41,0,1,19,1.0,0.5,0.00013327705758924945,1.9073486328125e-06,0.0002665541151784989,0.0002665541151784989,0.00013327705758924945,5.329070518200751e-15,True,0,,4.548795118353155e-09,332,1,10.435094312990465,0.9999999999832818,1.744560051974986e-10,10.435094311174584,False,False,2.4253377084448857e-12,True,True,False,REJECT_ARMIJO_CONDITION,
42,0,1,20,1.0,0.5,0.00013327705758924945,9.5367431640625e-07,0.0002665541151784989,0.0002665541151784989,0.00013327705758924945,5.329070518200751e-15,True,0,,4.678860981195092e-09,332,1,10.43509431307775,0.9999999999916463,8.717115917988849e-11,10.435094312169753,False,False,2.4253377084448857e-12,True,True,False,REJECT_ARMIJO_CONDITION,
43,0,2,0,1.0,0.25,6.663852879462473e-05,1.0,0.0002665541151784989,0.0002665541151784989,6.663852879462473e-05,5.329070518200751e-15,True,0,,4.8089461301970005e-09,332,1,10.435048554708565,0.9999956149455882,4.57584563555713e-05,10.434050803733605,False,False,2.4253377084448857e-12,True,True,False,REJECT_ARMIJO_CONDITION,
44,0,2,1,1.0,0.25,6.663852879462473e-05,0.5,0.0002665541151784989,0.0002665541151784989,6.663852879462473e-05,5.329070518200751e-15,True,0,,4.8089461301970005e-09,332,1,10.435071433936715,0.9999978074727913,2.2879228206207358e-05,10.434572558449263,False,False,2.4253377084448857e-12,True,True,False,REJECT_ARMIJO_CONDITION,
45,0,2,2,1.0,0.25,6.663852879462473e-05,0.25,0.0002665541151784989,0.0002665541151784989,6.663852879462473e-05,5.329070518200751e-15,True,0,,4.8089461301970005e-09,332,1,10.435082873550803,0.9999989037363942,1.1439614118202712e-05,10.434833435807091,False,False,2.4253377084448857e-12,True,True,False,REJECT_ARMIJO_CONDITION,
46,0,2,3,1.0,0.25,6.663852879462473e-05,0.125,0.0002665541151784989,0.0002665541151784989,6.663852879462473e-05,5.329070518200751e-15,True,0,,4.8089461301970005e-09,332,1,10.435088593357992,0.9999994518682096,5.719806928539128e-06,10.434963874486007,False,False,2.4253377084448857e-12,True,True,False,REJECT_ARMIJO_CONDITION,
