variant,b_index,a_index,z_index,b,a,z,layer_kind,a_resolution,mu_a,mu_b,mu_W,b_outward,classification,dlh5k_interior_positive_trajectory,dlh5k_top_offender_trajectory,mu_W_inward_or_outward,positive_mu_b_coexists_with
J3_A153_B120,118,148,1,4.147368421e+01,9.736842105e+00,1.300000000e+00,INTERIOR,a153,-1.199452731e-01,4.295571428e-03,-1.156497016e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J3_A153_B120,118,149,1,4.147368421e+01,9.802631579e+00,1.300000000e+00,INTERIOR,a153,-1.369459705e-01,1.800126012e-02,-1.189447104e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J3_A153_B120,118,150,1,4.147368421e+01,9.868421053e+00,1.300000000e+00,INTERIOR,a153,-1.529518504e-01,3.077773454e-02,-1.221741159e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J3_A153_B120,118,151,1,4.147368421e+01,9.934210526e+00,1.300000000e+00,INTERIOR,a153,-1.667919515e-01,4.167640174e-02,-1.251155498e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J3_A153_B120,118,152,1,4.147368421e+01,1.000000000e+01,1.300000000e+00,INTERIOR,a153,-1.762644607e-01,4.892091231e-02,-1.273435484e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J3_A153_B120,119,146,0,4.184210526e+01,9.605263158e+00,8.000000000e-01,TOP,a153,-9.834617612e-02,-3.937170137e-01,-4.920631898e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J3_A153_B120,119,146,1,4.184210526e+01,9.605263158e+00,1.300000000e+00,TOP,a153,-9.874094007e-02,-9.871459599e-03,-1.086123997e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J3_A153_B120,119,147,1,4.184210526e+01,9.671052632e+00,1.300000000e+00,TOP,a153,-1.160287227e-01,4.353314391e-03,-1.116754083e-01,True,B_OUTWARD__TOTAL_INWARD,False,True,,
J3_A153_B120,119,148,0,4.184210526e+01,9.736842105e+00,8.000000000e-01,TOP,a153,-1.327007016e-01,-3.656963025e-01,-4.983970041e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J3_A153_B120,119,148,1,4.184210526e+01,9.736842105e+00,1.300000000e+00,TOP,a153,-1.333286705e-01,1.847327678e-02,-1.148553937e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J3_A153_B120,119,149,1,4.184210526e+01,9.802631579e+00,1.300000000e+00,TOP,a153,-1.503161875e-01,3.221944759e-02,-1.180967399e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J3_A153_B120,119,150,0,4.184210526e+01,9.868421053e+00,8.000000000e-01,TOP,a153,-1.653792751e-01,-3.395091041e-01,-5.048883792e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J3_A153_B120,119,150,1,4.184210526e+01,9.868421053e+00,1.300000000e+00,TOP,a153,-1.663817264e-01,4.509449740e-02,-1.212872290e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J3_A153_B120,119,151,1,4.184210526e+01,9.934210526e+00,1.300000000e+00,TOP,a153,-1.803649440e-01,5.616085431e-02,-1.242040897e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J3_A153_B120,119,152,0,4.184210526e+01,1.000000000e+01,8.000000000e-01,TOP,a153,-1.884136473e-01,-3.216065148e-01,-5.100201621e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,False,,
J3_A153_B120,119,152,1,4.184210526e+01,1.000000000e+01,1.300000000e+00,TOP,a153,-1.900360420e-01,6.362594624e-02,-1.264100957e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J4_A153_B140,135,149,1,4.773684211e+01,9.802631579e+00,1.300000000e+00,INTERIOR,a153,-1.232583671e-01,-1.862652369e-02,-1.418848907e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,True,,
J4_A153_B140,135,150,1,4.773684211e+01,9.868421053e+00,1.300000000e+00,INTERIOR,a153,-1.385855334e-01,-6.627373747e-03,-1.452129072e-01,False,B_NONOUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J4_A153_B140,135,151,1,4.773684211e+01,9.934210526e+00,1.300000000e+00,INTERIOR,a153,-1.516126381e-01,3.383559650e-03,-1.482290784e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J4_A153_B140,135,152,1,4.773684211e+01,1.000000000e+01,1.300000000e+00,INTERIOR,a153,-1.601307631e-01,9.617233924e-03,-1.505135292e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J4_A153_B140,137,149,1,4.847368421e+01,9.802631579e+00,1.300000000e+00,INTERIOR,a153,-1.286848847e-01,-1.415577900e-02,-1.428406637e-01,False,B_NONOUTWARD__TOTAL_INWARD,False,True,,
J4_A153_B140,137,150,1,4.847368421e+01,9.868421053e+00,1.300000000e+00,INTERIOR,a153,-1.444182978e-01,-1.697376020e-03,-1.461156738e-01,False,B_NONOUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
J4_A153_B140,137,151,1,4.847368421e+01,9.934210526e+00,1.300000000e+00,INTERIOR,a153,-1.579341816e-01,8.841050347e-03,-1.490931312e-01,True,B_OUTWARD__TOTAL_INWARD,True,True,INWARD,TOTAL_INWARD
