variant,b_index,a_index,z_index,b,a,z,liquid_label,transfer_label,consumption,labor,transfer,adjustment_cost,effective_illiquid_return,mu_a,mu_b,base_liquid_surplus,transfer_injection,reconstruction_residual,mu_W,mu_W_transfer_cancelled_reconstruction,transfer_cancellation_residual,linear_d_contribution_mu_a,linear_negd_contribution_mu_b,linear_d_cancellation_sum,is_top_layer,material_positive
J1_A77_B140,139,76,0,4.921052632e+01,1.000000000e+01,8.000000000e-01,B,B,1.947519102e+00,7.091026235e-01,-4.292650531e-01,6.135335390e-02,2.700000000e-02,-1.592650531e-01,-3.592597237e-01,-7.271714230e-01,3.679116992e-01,-1.110223025e-16,-5.185247769e-01,-5.185247769e-01,-1.110223025e-16,-4.292650531e-01,4.292650531e-01,0.000000000e+00,True,False
J1_A77_B140,139,76,1,4.921052632e+01,1.000000000e+01,1.300000000e+00,B,B,1.953142476e+00,7.805107439e-01,-4.319602544e-01,6.185499159e-02,2.700000000e-02,-1.619602544e-01,1.758505363e-02,-3.525202092e-01,3.701052629e-01,-1.665334537e-16,-1.443752008e-01,-1.443752008e-01,-1.665334537e-16,-4.319602544e-01,4.319602544e-01,0.000000000e+00,True,True
J2_A77_B160,159,73,0,5.657894737e+01,9.605263158e+00,8.000000000e-01,B,B,2.057619075e+00,6.936745986e-01,-3.528554306e-01,4.824791096e-02,2.791212418e-02,-8.475213254e-02,-4.326286183e-01,-7.372361379e-01,3.046075196e-01,1.110223025e-16,-5.173807508e-01,-5.173807508e-01,1.110223025e-16,-3.528554306e-01,3.528554306e-01,0.000000000e+00,True,False
J2_A77_B160,159,73,1,5.657894737e+01,9.605263158e+00,1.300000000e+00,B,B,2.063778953e+00,7.634967346e-01,-3.539756781e-01,4.844237238e-02,2.791212418e-02,-8.587238012e-02,-6.589754478e-02,-3.714308505e-01,3.055333058e-01,0.000000000e+00,-1.517699249e-01,-1.517699249e-01,2.775557562e-17,-3.539756781e-01,3.539756781e-01,0.000000000e+00,True,False
J2_A77_B160,159,74,0,5.657894737e+01,9.736842105e+00,8.000000000e-01,B,B,2.058835642e+00,6.935106125e-01,-3.831732189e-01,5.339630891e-02,2.764014998e-02,-1.140454428e-01,-4.087873052e-01,-7.385642152e-01,3.297769100e-01,0.000000000e+00,-5.228327480e-01,-5.228327480e-01,0.000000000e+00,-3.831732189e-01,3.831732189e-01,0.000000000e+00,True,False
J2_A77_B160,159,74,1,5.657894737e+01,9.736842105e+00,1.300000000e+00,B,B,2.064833260e+00,7.633407736e-01,-3.846400373e-01,5.365865890e-02,2.764014998e-02,-1.155122611e-01,-4.167611663e-02,-3.726574950e-01,3.309813784e-01,1.110223025e-16,-1.571883778e-01,-1.571883778e-01,8.326672685e-17,-3.846400373e-01,3.846400373e-01,0.000000000e+00,True,False
J2_A77_B160,159,75,0,5.657894737e+01,9.868421053e+00,8.000000000e-01,B,B,2.060051599e+00,6.933468442e-01,-4.098505630e-01,5.800677469e-02,2.733712798e-02,-1.400762738e-01,-3.880477456e-01,-7.398915339e-01,3.518437884e-01,0.000000000e+00,-5.281240194e-01,-5.281240194e-01,1.110223025e-16,-4.098505630e-01,4.098505630e-01,0.000000000e+00,True,False
J2_A77_B160,159,75,1,5.657894737e+01,9.868421053e+00,1.300000000e+00,B,B,2.065889483e+00,7.631846410e-01,-4.117666159e-01,5.835790518e-02,2.733712798e-02,-1.419923266e-01,-2.047753391e-02,-3.738862446e-01,3.534087107e-01,-5.551115123e-17,-1.624698605e-01,-1.624698605e-01,-5.551115123e-17,-4.117666159e-01,4.117666159e-01,0.000000000e+00,True,False
J2_A77_B160,159,76,0,5.657894737e+01,1.000000000e+01,8.000000000e-01,B,B,2.061277565e+00,6.931818646e-01,-4.282200388e-01,6.115924404e-02,2.700000000e-02,-1.582200388e-01,-3.741688922e-01,-7.412296869e-01,3.670607948e-01,5.551115123e-17,-5.323889310e-01,-5.323889310e-01,1.110223025e-16,-4.282200388e-01,4.282200388e-01,0.000000000e+00,True,False
J2_A77_B160,159,76,1,5.657894737e+01,1.000000000e+01,1.300000000e+00,B,B,2.066957012e+00,7.630269508e-01,-4.307083898e-01,6.162181068e-02,2.700000000e-02,-1.607083898e-01,-6.041441309e-03,-3.751280204e-01,3.690865791e-01,-3.330669074e-16,-1.667498311e-01,-1.667498311e-01,-3.330669074e-16,-4.307083898e-01,4.307083898e-01,0.000000000e+00,True,False
J3_A153_B120,115,147,1,4.036842105e+01,9.671052632e+00,1.300000000e+00,B,F,1.822990085e+00,8.023405337e-01,-3.588225655e-01,4.919555743e-02,2.777983641e-02,-9.016230550e-02,-2.125047114e-02,-3.308774792e-01,3.096270081e-01,0.000000000e+00,-1.114127766e-01,-1.114127766e-01,0.000000000e+00,-3.588225655e-01,3.588225655e-01,0.000000000e+00,False,False
J3_A153_B120,115,148,1,4.036842105e+01,9.736842105e+00,1.300000000e+00,B,F,1.823738111e+00,8.022088819e-01,-3.761603364e-01,5.214811675e-02,2.764014998e-02,-1.070325602e-01,-7.758760988e-03,-3.317709806e-01,3.240122197e-01,1.110223025e-16,-1.147913212e-01,-1.147913212e-01,1.387778781e-16,-3.761603364e-01,3.761603364e-01,0.000000000e+00,False,False
J3_A153_B120,115,149,1,4.036842105e+01,9.802631579e+00,1.300000000e+00,B,F,1.824479125e+00,8.020785389e-01,-3.929599950e-01,5.504866309e-02,2.749270532e-02,-1.234591336e-01,5.255308593e-03,-3.326560233e-01,3.379113319e-01,5.551115123e-17,-1.182038250e-01,-1.182038250e-01,4.163336342e-17,-3.929599950e-01,3.929599950e-01,0.000000000e+00,False,True
J3_A153_B120,115,150,1,4.036842105e+01,9.868421053e+00,1.300000000e+00,B,F,1.825213976e+00,8.019493531e-01,-4.085539224e-01,5.776957807e-02,2.733712798e-02,-1.387796332e-01,1.725071949e-02,-3.335336249e-01,3.507843444e-01,0.000000000e+00,-1.215289137e-01,-1.215289137e-01,0.000000000e+00,-4.085539224e-01,4.085539224e-01,0.000000000e+00,False,True
J3_A153_B120,115,151,1,4.036842105e+01,9.934210526e+00,1.300000000e+00,B,F,1.825944088e+00,8.018210724e-01,-4.217270343e-01,6.007585648e-02,2.717302812e-02,-1.517844523e-01,2.724569036e-02,-3.344054875e-01,3.616511778e-01,0.000000000e+00,-1.245387620e-01,-1.245387620e-01,0.000000000e+00,-4.217270343e-01,4.217270343e-01,0.000000000e+00,False,True
