r_a,r_b,L,finite,hjb_converged,hjb_statistic,kfe_mass_error,kfe_min_mass,R1,R2,R3,R1_norm,R2_norm,R3_norm,resid_inf_norm,A_hh,B_hh,L_hh,K,w,Y,T,R_resource_structural,W_taper,R_resource_faithful,R_wealth_chain,R_wealth_direct
0.0,0.02500000000000001,2.3,1,1,1.3741139781586753e-08,1.1102230246251565e-16,-5.751179741077731e-17,-148.48043455430766,1.8087000942228055,-1.48383546539251,-1.0,1.8087000942228055,-0.6451458545184827,1.8087000942228055,-9.841120699023938e-16,2.8087000942228055,0.8161645346074897,148.48043455430766,2.8691871411460426,10.31114128849359,0.9648695636953845,3.574300285323702,0.0,3.574300285323702,3.574300285323703,2.825532974721226e-17
0.0,0.02500000000000001,2.65,1,1,7.137612811902727e-08,1.1102230246251565e-16,-1.4975598223439046e-16,-171.07528329083277,1.8478204093153057,-1.8464554431484805,-1.0,1.8478204093153057,-0.6967756389239549,1.8478204093153057,-2.5094167950394508e-15,2.8478204093153057,0.8035445568515194,171.07528329083277,2.8691871411460426,11.880228006307831,1.1155018886055519,4.457617089670873,0.0,4.457617089670873,4.457617089670874,1.5204058387785645e-16
0.0,0.02500000000000001,3.0,1,1,3.957272909360654e-08,1.1102230246251565e-16,-1.2493850877384572e-16,-193.67013202735785,1.8879253009051409,-2.2085428809935284,-1.0,1.8879253009051409,-0.7361809603311761,1.8879253009051409,-2.046003317524258e-15,2.887925300905141,0.7914571190064715,193.67013202735785,2.8691871411460426,13.449314724122072,1.2661342135157192,5.339612210563778,0.0,5.339612210563778,5.339612210563782,1.0763935141795147e-16
0.0,0.04375000000000001,0.2,1,1,5.812896830548198e-09,2.220446049250313e-16,-1.3187802343771627e-32,-12.91134213515719,2.851172061902066,0.6941044271485148,-0.9999999999999999,2.851172061902066,3.470522135742574,3.470522135742574,2.047491303049183e-15,3.851172061902066,0.8941044271485148,12.911342135157192,2.8691871411460426,0.8966209816081382,0.04232561423438126,-1.817488493093539,0.0,-1.817488493093539,-1.8174884930935389,-1.601135352342028e-16
0.0,0.04375000000000001,0.55,1,1,3.231604139841693e-08,1.1102230246251565e-16,-1.7342092441187715e-33,-35.50619087168228,2.909227525364509,0.3277120710739544,-1.0,2.909227525364509,0.5958401292253716,2.909227525364509,5.37991246996922e-16,3.909227525364509,0.8777120710739544,35.50619087168228,2.8691871411460426,2.4657076994223805,0.1929579391445485,-0.9264833510518536,0.0,-0.9264833510518536,-0.9264833510518535,-6.12198811189599e-17
0.0,0.04375000000000001,0.8999999999999999,1,1,1.403801519472836e-08,2.220446049250313e-16,-5.5221905215082726e-33,-58.10103960820735,2.96540442000318,-0.03790225615553344,-1.0,2.96540442000318,-0.042113617950592715,2.96540442000318,2.3050468594289274e-15,3.96540442000318,0.8620977438444665,58.10103960820735,2.8691871411460426,4.034794417236622,0.34359026405471566,-0.037287977518176973,0.0,-0.037287977518176973,-0.03728797751817675,-1.9375083255231264e-16
0.0,0.04375000000000001,1.2499999999999998,1,1,6.677481678707409e-09,2.220446049250313e-16,-7.662314670478333e-32,-80.69588834473242,3.019601233165413,-0.4027856303995162,-1.0,3.019601233165413,-0.32222850431961303,3.019601233165413,4.930723701234233e-15,4.019601233165413,0.8472143696004836,80.69588834473242,2.8691871411460426,5.603881135050862,0.49422258896488286,0.8502155480619565,0.0,0.8502155480619565,0.8502155480619574,-3.414185677788148e-16
0.0,0.04375000000000001,1.5999999999999999,1,1,9.072931916875859e-08,1.1102230246251565e-16,-1.2515996702959073e-16,-103.29073708125752,3.071763139873278,-0.7669826584007977,-1.0,3.071763139873278,-0.4793641615004986,3.071763139873278,-1.991042090722747e-15,4.071763139873278,0.8330173415992022,103.29073708125752,2.8691871411460426,7.172967852865106,0.6448549138750501,1.7361370948308772,0.0,1.7361370948308772,1.7361370948308763,1.5204058387785645e-16
0.0,0.04375000000000001,1.95,1,1,7.868772300412274e-08,2.220446049250313e-16,-3.768924184121393e-17,-125.8855858177826,3.1218336152775192,-1.130535182174294,-1.0,3.1218336152775192,-0.5797616318842533,3.1218336152775192,-6.127291985290647e-16,4.121833615277519,0.8194648178257061,125.8855858177826,2.8691871411460426,8.742054570679349,0.7954872387852174,2.6205800949847213,0.0,2.6205800949847213,2.6205800949847218,2.4555227042220182e-17
0.0,0.04375000000000001,2.3,1,1,4.101263328948335e-09,2.220446049250313e-16,-2.0307273885508553e-16,-148.48043455430766,3.1697379242460455,-1.4934822659446616,-1.0,3.1697379242460455,-0.6493401156281138,3.1697379242460455,-3.371637320989542e-15,4.1697379242460455,0.8065177340553383,148.48043455430766,2.8691871411460426,10.31114128849359,0.9461195636953845,3.503642334008417,0.0,3.503642334008417,3.503642334008416,1.853415082227852e-16
0.0,0.04375000000000001,2.65,1,1,5.158771188007449e-09,1.1102230246251565e-16,-1.9425439601359236e-20,-171.07528329083277,3.21545241400725,-1.8558606874111303,-1.0,3.21545241400725,-0.7003247877023133,3.21545241400725,1.3628219281511258e-15,4.21545241400725,0.7941393125888696,171.07528329083277,2.8691871411460426,11.880228006307831,1.0967518886055518,4.385413887222058,0.0,4.385413887222058,4.385413887222059,-7.686122437188097e-17
0.0,0.04375000000000001,3.0,1,1,8.455451450117835e-09,1.1102230246251565e-16,-1.120800263931077e-32,-193.67013202735785,3.258885064499334,-2.2177044078823602,-1.0,3.258885064499334,-0.7392348026274534,3.258885064499334,2.8029906004429017e-15,4.258885064499334,0.7822955921176399,193.67013202735785,2.8691871411460426,13.449314724122072,1.2473842135157192,5.265981402893272,0.0,5.265981402893272,5.265981402893274,-1.9846005417684802e-16
0.0,0.06250000000000001,0.2,1,1,5.363408561720462e-08,2.220446049250313e-16,-4.963162919811984e-23,-12.911342135157186,3.410072762646883,0.6833475788324672,-0.9999999999999996,3.410072762646883,3.416737894162336,3.416737894162336,6.148951407553732e-15,4.410072762646883,0.8833475788324672,12.911342135157192,2.8691871411460426,0.8966209816081382,0.02357561423438126,-1.8796838208669184,0.0,-1.8796838208669184,-1.8796838208669182,-3.75245074894339e-16
0.0,0.06250000000000001,0.55,1,1,2.873363769140269e-08,1.1102230246251565e-16,-3.8845445990632027e-16,-35.506190871682286,3.4521522277467014,0.3173947644565356,-1.0000000000000002,3.4521522277467014,0.5770813899209737,3.4521522277467014,-5.382597445037475e-15,4.452152227746701,0.8673947644565356,35.50619087168228,2.8691871411460426,2.4657076994223805,0.17420793914454852,-0.9898247445530712,0.0,-0.9898247445530712,-0.9898247445530711,2.996189700333574e-16
0.0,0.06250000000000001,0.8999999999999999,1,1,1.5047064039208635e-08,1.1102230246251565e-16,-1.3037774713599928e-21,-58.10103960820725,3.4918541073210543,-0.04779399257861949,-0.9999999999999983,3.4918541073210543,-0.05310443619846611,3.4918541073210543,9.699994055110993e-14,4.491854107321054,0.8522060074213804,58.10103960820735,2.8691871411460426,4.034794417236622,0.32484026405471567,-0.10168045911655772,0.0,-0.10168045911655772,-0.10168045911655794,-5.465800979210635e-15
0.0,0.06250000000000001,1.2499999999999998,1,1,7.672909418943163e-09,1.1102230246251565e-16,-3.58673877132839e-33,-80.69588834473242,3.5292981947997877,-0.4122671028299578,-1.0,3.5292981947997877,-0.3298136822639663,3.5292981947997877,3.1742240464766065e-16,4.529298194799788,0.837732897170042,80.69588834473242,2.8691871411460426,5.603881135050862,0.47547258896488287,0.7848596124586735,0.0,0.7848596124586735,0.7848596124586744,-2.5564345961763475e-17
0.0,0.06250000000000001,1.5999999999999999,1,1,8.555321784342595e-08,1.1102230246251565e-16,-2.539933486038162e-32,-103.29073708125752,3.5646048611349315,-0.7760699681332117,-1.0,3.5646048611349315,-0.48504373008325735,3.5646048611349315,2.566896465283582e-15,4.5646048611349315,0.8239300318667881,103.29073708125752,2.8691871411460426,7.172967852865106,0.6261049138750501,1.6698986733968817,0.0,1.6698986733968817,1.6698986733968817,-1.5540431360966745e-16
0.0,0.06250000000000001,1.95,1,1,6.002127861393092e-08,4.440892098500626e-16,-2.54771833640686e-16,-125.8855858177826,3.597881725406327,-1.1392449557246151,-1.0,3.597881725406327,-0.5842281824228795,3.597881725406327,-4.582871460770112e-15,4.597881725406327,0.8107550442753849,125.8855858177826,2.8691871411460426,8.742054570679349,0.7767372387852174,2.553533323105579,0.0,2.553533323105579,2.553533323105579,2.32433724468139e-16
0.0,0.06250000000000001,2.3,1,1,1.1068607363995397e-08,2.220446049250313e-16,-3.5772752997032306e-33,-148.48043455430766,3.629167758190336,-1.5018310839440503,-1.0,3.629167758190336,-0.6529700364974133,3.629167758190336,5.269911489297004e-16,4.629167758190336,0.7981689160559495,148.48043455430766,2.8691871411460426,10.31114128849359,0.9273695636953845,3.435856284204942,0.0,3.435856284204942,3.4358562842049416,-3.431004326447202e-17
