r_a,r_b,L,finite_before,stage_before,old_transfer_foc_guard_failure_before,finite_after,stage_after,hjb_converged_after,hjb_iterations_after,hjb_statistic_after,hjb_exception_class_after,hjb_exception_message_after,kfe_reached_after,kfe_exception_class_after,kfe_exception_message_after,agg_reached_after,agg_finite_after,kfe_mass_error_after,hjb_warnings_after,kfe_warnings_after
0.12,0.04375000000000001,1.5999999999999999,0,3,1,0,HJB_NO_CONVERGENCE,0,1000,0.1449998665992922,,,,,,,,,,
0.12,0.04375000000000001,1.95,0,3,1,1,FULL_FINITE,1,362,2.9744171570200706e-09,,,1,,,1,1,2.220446049250313e-16,,
0.12,0.04375000000000001,2.3,0,3,1,1,FULL_FINITE,1,292,1.0188614396611229e-09,,,1,,,1,1,1.1102230246251565e-16,,
0.12,0.04375000000000001,2.65,0,3,1,0,HJB_NO_CONVERGENCE,0,1000,0.0074942197741947325,,,,,,,,,,
0.12,0.04375000000000001,3.0,0,3,1,1,FULL_FINITE,1,453,8.743760293583591e-08,,,1,,,1,1,2.220446049250313e-16,,
0.12,0.06250000000000001,0.2,0,3,1,1,FULL_FINITE,1,246,1.4454961672072386e-09,,,1,,,1,1,2.220446049250313e-16,,
0.12,0.06250000000000001,0.55,0,3,1,0,HJB_NO_CONVERGENCE,0,1000,0.0005318517429273584,,,,,,,,,,
0.12,0.06250000000000001,0.8999999999999999,0,3,1,1,FULL_FINITE,1,91,4.6181334312223044e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.12,0.06250000000000001,1.2499999999999998,0,3,1,1,FULL_FINITE,1,205,6.808499719568317e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.12,0.06250000000000001,1.5999999999999999,0,3,1,1,FULL_FINITE,1,447,2.3185879882703375e-09,,,1,,,1,1,2.220446049250313e-16,,
0.12,0.06250000000000001,1.95,0,3,1,1,FULL_FINITE,1,123,2.67186806013342e-09,,,1,,,1,1,2.220446049250313e-16,,
0.12,0.06250000000000001,2.3,0,3,1,1,FULL_FINITE,1,170,3.4779645829985384e-10,,,1,,,1,1,2.220446049250313e-16,,
0.12,0.06250000000000001,2.65,0,3,1,1,FULL_FINITE,1,134,8.103649218327291e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.12,0.06250000000000001,3.0,0,3,1,1,FULL_FINITE,1,227,6.635252347564347e-10,,,1,,,1,1,1.1102230246251565e-16,,
0.12,0.08125000000000003,0.2,0,3,1,1,FULL_FINITE,1,82,1.3118182096150122e-09,,,1,,,1,1,2.220446049250313e-16,,
0.12,0.08125000000000003,0.55,0,3,1,0,HJB_NO_CONVERGENCE,0,1000,0.008978652450634783,,,,,,,,,,
0.12,0.08125000000000003,0.8999999999999999,0,3,1,0,HJB_NO_CONVERGENCE,0,1000,1.0344339035851053,,,,,,,,,RuntimeWarning,
0.12,0.08125000000000003,1.2499999999999998,0,3,1,1,FULL_FINITE,1,270,2.774235063895958e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.12,0.08125000000000003,1.5999999999999999,0,3,1,1,FULL_FINITE,1,467,4.799183273007657e-11,,,1,,,1,1,2.220446049250313e-16,,
0.12,0.08125000000000003,1.95,0,3,1,0,KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,1,747,2.291038470048079e-10,,,0,ValueError,faithful contaminated-row solve is non-finite,,,,,MatrixRankWarning
0.12,0.08125000000000003,2.3,0,3,1,1,FULL_FINITE,1,357,1.922213943572615e-09,,,1,,,1,1,1.1102230246251565e-16,,
0.12,0.08125000000000003,2.65,0,3,1,1,FULL_FINITE,1,97,2.4265975895332303e-09,,,1,,,1,1,2.220446049250313e-16,,
0.12,0.08125000000000003,3.0,0,3,1,1,FULL_FINITE,1,97,1.1072208039308862e-08,,,1,,,1,1,1.1102230246251565e-16,,
0.12,0.1,0.2,0,3,1,0,KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,1,321,4.724450164417249e-08,,,0,ValueError,faithful contaminated-row solve is non-finite,,,,,MatrixRankWarning
0.12,0.1,0.55,0,3,1,1,FULL_FINITE,1,207,3.768468204157216e-09,,,1,,,1,1,2.220446049250313e-16,,
0.12,0.1,0.8999999999999999,0,3,1,0,KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,1,112,1.5335963610141334e-09,,,0,ValueError,faithful contaminated-row solve is non-finite,,,,,MatrixRankWarning
0.12,0.1,1.2499999999999998,0,3,1,0,KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,1,311,1.3998580072893674e-09,,,0,ValueError,faithful contaminated-row solve is non-finite,,,,,MatrixRankWarning
0.12,0.1,1.5999999999999999,0,3,1,1,FULL_FINITE,1,161,6.807505315009621e-08,,,1,,,1,1,2.220446049250313e-16,,
0.12,0.1,1.95,0,3,1,1,FULL_FINITE,1,114,2.1196097321762863e-08,,,1,,,1,1,2.220446049250313e-16,,
0.12,0.1,2.3,0,3,1,0,KFE_CONTAMINATED_ROW_SINGULAR_NONFINITE,1,864,6.766285309822706e-10,,,0,ValueError,faithful contaminated-row solve is non-finite,,,,,MatrixRankWarning
0.12,0.1,2.65,0,3,1,1,FULL_FINITE,1,174,3.705144102639224e-08,,,1,,,1,1,2.220446049250313e-16,,
0.12,0.1,3.0,0,3,1,0,HJB_NO_CONVERGENCE,0,1000,0.09697906124704936,,,,,,,,,,
